publisher_id,publisher_name,phone_number
1,황금알,010-0000-0001
2,리더북스,010-0000-0002
3,규장(규장문화사),010-0000-0003
4,문예바다,010-0000-0004
5,경남,010-0000-0005
6,20세기폭스,010-0000-0006
7,소니픽쳐스,010-0000-0007
8,선비북스,010-0000-0008
9,서울미디어코믹스(서울문화사),010-0000-0009
10,Child's World,010-0000-0010
11,Kidhaven Publishing,010-0000-0011
12,The Childs World Inc,010-0000-0012
13,Powerkids Pr,010-0000-0013
14,Independently Published,010-0000-0014
15,Dk Pub,010-0000-0015
16,Little Simon,010-0000-0016
17,Groundwood Books,010-0000-0017
18,Createspace Independent Pub,010-0000-0018
19,Clavis,010-0000-0019
20,SIMPLY READ BOOKS,010-0000-0020
21,Hachette Children's Group,010-0000-0021
22,Independent Pub Group,010-0000-0022
23,Digireads.com,010-0000-0023
24,Larch Books,010-0000-0024
25,Babl Books Inc.,010-0000-0025
26,Createspace Independent Publishing Platform,010-0000-0026
27,Dutton Childrens Books,010-0000-0027
28,Hudson Hills Pr,010-0000-0028
29,Twelvetrees Pr,010-0000-0029
30,Museum of Contemporary Art,010-0000-0030
31,Joslyn Art Museum,010-0000-0031
32,Distributed by the University of Washington Press,010-0000-0032
33,Art Inst of Chicago Museum Shop,010-0000-0033
34,Yale University Press,010-0000-0034
35,Hatje Cantz Pub,010-0000-0035
36,Smithsonian Inst Pr,010-0000-0036
37,Heyday Books,010-0000-0037
38,Tate Gallery Pubn,010-0000-0038
39,Kodansha Amer Inc,010-0000-0039
40,Abbeville Press,010-0000-0040
41,Univ of Washington Pr,010-0000-0041
42,Henry Holt & Co,010-0000-0042
43,Hudson Hills,010-0000-0043
44,Chronicle Books Llc,010-0000-0044
45,Burton,010-0000-0045
46,Otago Univ Pr,010-0000-0046
47,Chronicle Books,010-0000-0047
48,Pace Wildenstein,010-0000-0048
49,The Museum of Modern Art,010-0000-0049
50,Aperture,010-0000-0050
51,Guild,010-0000-0051
52,J Paul Getty Museum Pubns,010-0000-0052
53,Friends of Photography Bookstore,010-0000-0053
54,Cleveland Museum of Art Bookstore,010-0000-0054
55,LindaHodgesGallery,010-0000-0055
56,Harry N Abrams Inc,010-0000-0056
57,Portland Art Museum,010-0000-0057
58,Art Services Intl,010-0000-0058
59,Cambridge Univ Pr,010-0000-0059
60,Montgomery Museum of Fine Arts,010-0000-0060
61,George Braziller,010-0000-0061
62,Harcourt,010-0000-0062
63,Distributed Art Pub Inc,010-0000-0063
64,Taschen America Llc,010-0000-0064
65,Hardy Marks Pubns,010-0000-0065
66,Excalibur Books,010-0000-0066
67,Menil Collection,010-0000-0067
68,HatjeCantzPublishers,010-0000-0068
69,Kodansha USA Inc,010-0000-0069
70,Fellows of Contemporary Art,010-0000-0070
71,Merrell Pub Limited,010-0000-0071
72,Guild Publishing,010-0000-0072
73,Univ Pr of Mississippi,010-0000-0073
74,Steidl,010-0000-0074
75,St. Ann's Press,010-0000-0075
76,Autry Museum of Western Heritage,010-0000-0076
77,Frances Lincoln Ltd,010-0000-0077
78,Guggenheim Museum Pubns,010-0000-0078
79,Rizzoli Intl Pubns,010-0000-0079
80,MuseumofFineArtsHouston,010-0000-0080
81,Museum of Fine Arts Boston,010-0000-0081
82,The Albuquerque Museum,010-0000-0082
83,Woodward/White,010-0000-0083
84,Chinese Univ of Hong Kong Art,010-0000-0084
85,Princeton Univ Pr,010-0000-0085
86,Sites/LumenBooks,010-0000-0086
87,Marlborough Gallery,010-0000-0087
88,Farrar Straus & Giroux,010-0000-0088
89,Museum of New Mexico Pr,010-0000-0089
90,Honolulu Academy of Arts,010-0000-0090
91,Yale Univ Art Gallery,010-0000-0091
92,Univ of Hawaii Pr,010-0000-0092
93,Weatherhill,010-0000-0093
94,XUNTA DE GALICIA,010-0000-0094
95,University Galleries,010-0000-0095
96,영상공감,010-0000-0096
97,애니스토리,010-0000-0097
98,비티타임즈,010-0000-0098
99,PENGUIN RANDOM HOUSE USA,010-0000-0099
100,德間書店,010-0000-0100
101,文藝春秋,010-0000-0101
102,Aladdin Paperbacks,010-0000-0102
103,비디오여행,010-0000-0103
104,미디어연가,010-0000-0104
105,다온미디어,010-0000-0105
106,노바미디어,010-0000-0106
107,미디어포유,010-0000-0107
108,미디어룩,010-0000-0108
109,인터파크/뮤직앤뉴,010-0000-0109
110,Sams,010-0000-0110
111,고시동네,010-0000-0111
112,탑(TOP),010-0000-0112
113,Bantam Dell Pub Group,010-0000-0113
114,Barron's Educational Series,010-0000-0114
115,말씀과만남,010-0000-0115
116,법학사,010-0000-0116
117,David Fickling Books,010-0000-0117
118,Clarion Books,010-0000-0118
119,William Morrow & Co,010-0000-0119
120,Alfred a Knopf Inc,010-0000-0120
121,Candlewick Pr,010-0000-0121
122,HarperCollins,010-0000-0122
123,Scholastic,010-0000-0123
124,탑,010-0000-0124
125,예찬사,010-0000-0125
126,한샘,010-0000-0126
127,역학사,010-0000-0127
128,Perennial,010-0000-0128
129,대영,010-0000-0129
130,Dk,010-0000-0130
131,Random House Books for Young Readers,010-0000-0131
132,Studio Fun International,010-0000-0132
133,Drawn & Quarterly,010-0000-0133
134,Orchard,010-0000-0134
135,Simon & Schuster,010-0000-0135
136,Usborne Publishing Ltd,010-0000-0136
137,Crackboom! Books,010-0000-0137
138,Silver Dolphin Books,010-0000-0138
139,Little Tiger Press,010-0000-0139
140,Nosy Crow Ltd,010-0000-0140
141,Rise x Penguin Workshop,010-0000-0141
142,Gecko Press,010-0000-0142
143,HACHETTE CHILDREN,010-0000-0143
144,Boyds Mills Press,010-0000-0144
145,Thames & Hudson,010-0000-0145
146,Simon & Schuster Books for Young Readers,010-0000-0146
147,Walker Books Ltd,010-0000-0147
148,Starry Forest Books,010-0000-0148
149,Orca Book Publishers,010-0000-0149
150,Enchanted Lion Books,010-0000-0150
151,Sourcebooks Jabberwocky,010-0000-0151
152,Dixi Books (UK) Limited,010-0000-0152
153,Atheneum Books for Young Readers,010-0000-0153
154,Scholastic Press,010-0000-0154
155,Pikku Publishing,010-0000-0155
156,HarperCollins Publishers,010-0000-0156
157,Candlewick Press (MA),010-0000-0157
158,Rachel White,010-0000-0158
159,Square Fish,010-0000-0159
160,Albert Whitman & Company,010-0000-0160
161,Eerdmans Pub Co,010-0000-0161
162,Scholastic Inc.,010-0000-0162
163,Yen Press,010-0000-0163
164,Roaring Brook Press,010-0000-0164
165,Dial Books,010-0000-0165
166,Penguin Books Ltd,010-0000-0166
167,Prestel Junior,010-0000-0167
168,Escape,010-0000-0168
169,Scholastic Paperbacks,010-0000-0169
170,Little Tiger Press Group,010-0000-0170
171,다층,010-0000-0171
172,Gareth Stevens Pub Secondary Lib,010-0000-0172
173,영상출판미디어(주),010-0000-0173
174,뒹굴,010-0000-0174
175,시간과공간사,010-0000-0175
176,Museum of Modern Art,010-0000-0176
177,곁(beside),010-0000-0177
